id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0,0.1,0.0,0.22895332763437182,0.0,4.615017135806143e-13,-0.0493257978461175,0,3,0.2253388060663661,0.0
1,1.6684e-15,0.1,0.0,0.2714290051662829,-0.0476611160987129,1.183940098736791e-12,1,0,0.0,0.2700091507755214
2,0.0,1.0,0.0,0.3499999999999999,-0.0321031704473042,0.031596631280884,1,4,0.0,0.3499999999999999
3,1.0,1.0,0.1749999999999999,0.3499999999999999,0.0303949520389108,0.032470058104804,2,4,0.1749999999999999,0.3499999999999999
4,1.0,0.0,0.1749999999999999,0.0,0.0292911851678401,-0.0344550238413535,2,3,0.1749999999999999,0.0
5,0.0980784999999999,0.0195089999999999,0.22384339509881102,0.05598325136816129,1.7939751247031401e-12,3.665401315799954e-13,0,0,0.220816344853418,0.0546351188021197
6,0.0923879999999999,0.0382682999999999,0.2094159954576753,0.10892620822414756,-1.68589101012806e-14,1.829092433069945e-14,0,0,0.2068153973599655,0.1069007620998185
7,0.0831469999999999,0.055557,0.1867308818764286,0.15641830704407766,-1.806267808934781e-13,-1.0582507092848915e-13,0,0,0.1831472252848993,0.1528875935924299
8,0.0707107,0.0707107,0.15727163958945312,0.19682187406579033,-5.876722719566628e-14,-1.07032438467769e-13,0,0,0.1540931204098581,0.1870069321122469
9,0.055557,0.0831469999999999,0.1225234756275313,0.22913604299537838,1.885048513767737e-13,2.974402408401078e-13,0,0,0.1208414263748067,0.2218518877121554
10,0.0382682999999999,0.0923879999999999,0.08384346321690828,0.25267007792717777,3.4986943897585837e-13,5.271278205598584e-13,0,0,0.0846780714319808,0.2470191618483896
11,0.0195089999999999,0.0980784999999999,0.04254238880821504,0.2668494869431015,8.024443197592047e-13,3.304015047667086e-12,0,0,0.0426593175821901,0.2634082643836384
12,0.0,0.967857,0.0,0.34245335559535306,-0.0642055035920109,-6.93889390390723e-18,1,0,0.0,0.3423099730818966
13,0.0,0.935714,0.0,0.3349571877333801,-0.0642237623513964,-3.122502256758253e-17,1,0,0.0,0.3346366474037663
14,0.0,0.903571,0.0,0.3274541742284782,-0.0642562478433307,1.006139616066548e-16,1,0,0.0,0.3269953965079496
15,0.0,0.871429,0.0,0.3199613235919969,-0.0642722963585524,1.3530843112619095e-16,1,0,0.0,0.3194028862286034
16,0.0,0.8392859999999999,0.0,0.31256143626524135,-0.0643401995431682,-3.261280134836397e-16,1,0,0.0,0.3118872665640016
17,0.0,0.807143,0.0,0.30527212971355766,-0.064398952281867,1.8041124150158796e-16,1,0,0.0,0.3044615363882899
18,0.0,0.775,0.0,0.29806093039223924,-0.0644525747258134,3.469446951953615e-18,1,0,0.0,0.297149057902995
19,0.0,0.7428569999999999,0.0,0.29095276714360807,-0.0644758250543969,1.006139616066548e-16,1,0,0.0,0.2899708874338413
20,0.0,0.7107139999999998,0.0,0.2840203505184036,-0.0646940642655193,-3.0878077872387166e-16,1,0,0.0,0.2828639943609477
21,0.0,0.678571,0.0,0.27728827101236675,-0.0648140724067662,2.949029909160572e-16,1,0,0.0,0.2759332570386109
22,0.0,0.646429,0.0,0.27075556409545243,-0.0649697563945344,6.245004513516506e-17,1,0,0.0,0.2692065357432846
23,0.0,0.614286,0.0,0.26445774867261207,-0.0654027882701026,-1.214306433183765e-16,1,0,0.0,0.2627152981893846
24,0.0,0.5821429999999999,0.0,0.2584284310214571,-0.065451778911549,-1.1449174941446927e-16,1,0,0.0,0.2565148935967177
25,0.0,0.55,0.0,0.2527131970055052,-0.0657263274689089,1.769417945496343e-16,1,0,0.0,0.2506671487569447
26,0.0,0.517857,0.0,0.24741858178458642,-0.0660197484452824,-2.706168622523819e-16,1,0,0.0,0.2452339689125057
27,0.0,0.4857139999999999,0.0,0.24260424032399897,-0.0662280881847534,5.681219383824043e-17,1,0,0.0,0.240292535446932
28,0.0,0.453571,0.0,0.238286705702194,-0.0668211285982724,-2.4286128663675294e-16,1,0,0.0,0.2357986710320372
29,0.0,0.421429,0.0,0.23461910901824012,-0.067264189747421,5.551115123125784e-17,1,0,0.0,0.2319693712018625
30,0.0,0.389286,0.0,0.23173935792874545,-0.0677568155626505,-4.510281037539698e-17,1,0,0.0,0.2289216341325739
31,0.0,0.3571429999999999,0.0,0.2296271814557258,-0.0683569570227136,-2.8449465006019636e-16,1,0,0.0,0.2268299538487713
32,0.0,0.325,0.0,0.22852719051297754,-0.0697118020063705,3.920475055707584e-16,1,0,0.0,0.2254815965826104
33,0.0,0.2928569999999999,0.0,0.22888434937340207,-0.0707605372915576,3.1571967262777884e-16,1,0,0.0,0.2255202954522886
