id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0,0.1,0.0,0.3802835255364698,0.0,-2.118531045036676e-15,-0.0542133731281974,0,3,0.3792067927497596,0.0
1,1.6684e-15,0.1,0.0,0.4482870724041277,-0.0550983146696997,2.6107588313450947e-16,1,0,0.0,0.4510754273325186
2,0.0,1.0,0.0,0.45,-0.0381069781357259,0.0363617025932066,1,4,0.0,0.45
3,1.0,1.0,0.225,0.45,0.0360207789306347,0.0374740879678205,2,4,0.225,0.45
4,1.0,0.0,0.225,0.0,0.0342409578011654,-0.0399224712370215,2,3,0.225,0.0
5,0.0980784999999999,0.0195089999999999,0.37117715212480107,0.09391747426707298,3.967312589558958e-15,8.88178419700125e-16,0,0,0.3691207068080565,0.0920650590487063
6,0.0923879999999999,0.0382682999999999,0.34687834434771503,0.18168413155945018,1.2906342661267445e-15,-3.6082248300317592e-16,0,0,0.3436906388951332,0.1798369137444197
7,0.0831469999999999,0.055557,0.3092619769031444,0.2599304143404879,-3.570060913560269e-15,-2.0261570199409107e-15,0,0,0.3050492503568404,0.2533312202988576
8,0.0707107,0.0707107,0.2606753808349822,0.32622670843920787,6.210310043996969e-16,6.869504964868156e-16,0,0,0.2576741737221393,0.3082810470829627
9,0.055557,0.0831469999999999,0.2034411072554576,0.37916250127454987,8.095737621949261e-16,1.1256186954744509e-15,0,0,0.2013278919372149,0.3659548759229603
10,0.0382682999999999,0.0923879999999999,0.13964162156844395,0.4178330282575189,1.1913213471270725e-15,5.48172618408671e-16,0,0,0.1485392892255201,0.4048302528006083
11,0.0195089999999999,0.0980784999999999,0.07123280561836509,0.4413149520751176,1.769417945496343e-16,2.427745504629541e-15,0,0,0.0697096102000101,0.4385806067584754
12,0.0,0.967857,0.0,0.4434955561455354,-0.0762073889714093,1.873501354054952e-16,1,0,0.0,0.4432311607219269
13,0.0,0.935714,0.0,0.4372783035032626,-0.0762277922315995,-4.718447854656915e-16,1,0,0.0,0.4364939827050748
14,0.0,0.903571,0.0,0.43090286753704277,-0.0762670599097638,1.873501354054952e-16,1,0,0.0,0.4298172216710398
15,0.0,0.871429,0.0,0.424380497641323,-0.0762629945540631,5.898059818321144e-17,1,0,0.0,0.4232318087331367
16,0.0,0.8392859999999999,0.0,0.41805468545680924,-0.0763399220449776,-3.469446951953615e-17,1,0,0.0,0.4167916679245777
17,0.0,0.807143,0.0,0.41206271555347485,-0.0763919217769693,1.734723475976807e-16,1,0,0.0,0.410518136843875
18,0.0,0.775,0.0,0.406211251143759,-0.0764214213656046,-1.9775847626135598e-16,1,0,0.0,0.4044522307556605
19,0.0,0.7428569999999999,0.0,0.40040964549189084,-0.0764032125031929,9.367506770274758e-17,1,0,0.0,0.3986281567169923
20,0.0,0.7107139999999998,0.0,0.39490557245335367,-0.0767542635864108,1.214306433183765e-16,1,0,0.0,0.3929244956415271
21,0.0,0.678571,0.0,0.3899358828111872,-0.0768705992595285,-3.2265856653168607e-16,1,0,0.0,0.3875332032237994
22,0.0,0.646429,0.0,0.38539778444283,-0.0770323205854532,4.1980308118638727e-16,1,0,0.0,0.382502238435059
23,0.0,0.614286,0.0,0.381099704207827,-0.0776689377107608,-2.8796409701215e-16,1,0,0.0,0.3778835122399918
24,0.0,0.5821429999999999,0.0,0.3771117669807609,-0.0775869471740866,1.6306400674181987e-16,1,0,0.0,0.3737581198311277
25,0.0,0.55,0.0,0.3736306170549142,-0.0778490346839488,1.4918621893400539e-16,1,0,0.0,0.3702335187459999
26,0.0,0.517857,0.0,0.3707955424861211,-0.0781087104537289,-2.2204460492503126e-16,1,0,0.0,0.3673976187352155
27,0.0,0.4857139999999999,0.0,0.3688346441485919,-0.0782055651980382,-1.0278236595162582e-16,1,0,0.0,0.3653548594851574
28,0.0,0.453571,0.0,0.3679336756867997,-0.078915038100316,4.475586568020161e-16,1,0,0.0,0.3640006149323916
29,0.0,0.421429,0.0,0.36784957364579896,-0.0792742624960883,-3.2265856653168607e-16,1,0,0.0,0.3636597862818709
30,0.0,0.389286,0.0,0.36837457836554677,-0.0796527087142161,2.3592239273284576e-16,1,0,0.0,0.364476855239305
31,0.0,0.3571429999999999,0.0,0.3701227472174651,-0.0802974149872447,-1.769417945496343e-16,1,0,0.0,0.3666460565742168
32,0.0,0.325,0.0,0.37375142220480484,-0.0819800135669409,2.914335439641036e-16,1,0,0.0,0.3697198558439303
33,0.0,0.2928569999999999,0.0,0.37877517895321944,-0.082921162528146,-4.3021142204224816e-16,1,0,0.0,0.3746435682022087
34,0.0,0.260714,0.0,0.3848144723542646,-0.0843839187536157,-8.673617379884035e-17,1,0,0.0,0.3815581636946479
35,0.0,0.228571,0.0,0.39310590273089474,-0.0849334107397079,-1.5178830414797062e-17,1,0,0.0,0.3906489568293094
36,0.0,0.1964289999999999,0.0,0.4043241244125966,-0.0891867887739464,-4.510281037539697e-16,1,0,0.0,0.4021509234440181
37,0.0,0.1642859999999999,0.0,0.4169497734455945,-0.0936864311488069,7.858297346174935e-16,1,0,0.0,0.4161455208624746
38,0.0,0.132143,0.0,0.43133509856124874,-0.0990630445739933,-1.9255430583342559e-16,1,0,0.0,0.4325898475797147
39,0.96875,1.0,0.2194633487806641,0.45,9.891544878917313e-17,0.0749514700177614,0,4,0.2198653704281844,0.45
40,0.9375,1.0,0.21471464794376516,0.45,-3.305791716214611e-16,0.0749441484966126,0,4,0.2147138507011216,0.45
41,0.90625,1.0,0.20981669279535708,0.45,1.2942324620866807e-16,0.0749322042216467,0,4,0.2095312116141122,0.45
42,0.875,1.0,0.2046432873357844,0.45,4.112768475393255e-17,0.0749146188693081,0,4,0.2043034905524941,0.45
43,0.84375,1.0,0.19938165970233968,0.45,1.2251823362265102e-16,0.0748691950284355,0,4,0.1990332346465716,0.45
44,0.8125,1.0,0.19408806455976446,0.45,-1.1379379426593172e-16,0.0748381535134855,0,4,0.1936886939201539,0.45
45,0.78125,1.0,0.1887015309293929,0.45,1.2271813339820305e-17,0.0748115039718568,0,4,0.1882567967563055,0.45
46,0.75,1.0,0.18321128393654362,0.45,2.399813746160884e-17,0.0747948557271227,0,4,0.1827187992982815,0.45
47,0.71875,1.0,0.17766475045209518,0.45,-1.1212683342573526e-16,0.0746525824317742,0,4,0.1771170044493513,0.45
48,0.6875,1.0,0.17207973593394854,0.45,8.93653640671177e-17,0.0745921973462445,0,4,0.1713917314265872,0.45
49,0.65625,1.0,0.16642037862584402,0.45,-2.239148536725688e-16,0.0745193458586225,0,4,0.1655333000725618,0.45
50,0.625,1.0,0.16059640423918609,0.45,6.213494887878646e-17,0.0743671958953089,0,4,0.1595298590451721,0.45
51,0.59375,1.0,0.15447072611732438,0.45,1.356133629872025e-16,0.0743494665445307,0,4,0.1533561047241122,0.45
52,0.5625,1.0,0.147980994338468,0.45,-8.945345549363215e-17,0.07425487252251,0,4,0.1470033030254939,0.45
53,0.53125,1.0,0.14125019366838387,0.45,6.257879414314771e-17,0.0741625374222165,0,4,0.1404600769328796,0.45
54,0.5,1.0,0.1344306573846552,0.45,-2.1240367591938286e-16,0.0740377780069749,0,4,0.1337161076999015,0.45
55,0.46875,1.0,0.1274811554067128,0.45,1.8153610125554162e-16,0.0739431185824985,0,4,0.1268060082019773,0.45
56,0.4375,1.0,0.12029395541685517,0.45,-1.0907751481561977e-16,0.0738605229521456,0,4,0.1196820252378169,0.45
57,0.40625,1.0,0.11295197248909972,0.45,7.71951946809679e-17,0.073775123301497,0,4,0.1123356929181511,0.45
58,0.375,1.0,0.10557591107135522,0.45,5.0103692895986374e-17,0.0736822696145122,0,4,0.104748186164023,0.45
59,0.34375,1.0,0.09800019197246002,0.45,6.096096121389201e-17,0.0734555191526132,0,4,0.0969915922114978,0.45
60,0.3125,1.0,0.08994270393122861,0.45,-7.125749372071527e-17,0.0733653759105036,0,4,0.0890035419887249,0.45
61,0.28125,1.0,0.08145219512425683,0.45,-4.409653523405888e-18,0.0732789902083512,0,4,0.0807973938613351,0.45
62,0.25,1.0,0.07285646907712362,0.45,-1.3438685927957827e-16,0.0730889184193626,0,4,0.0723810677212661,0.45
63,0.21875,1.0,0.06430219764024514,0.45,1.352000109089424e-16,0.0730338246011854,0,4,0.0638277013065849,0.45
64,0.1875,1.0,0.0556389588955426,0.45,-1.7503766448420666e-16,0.0729635928022719,0,4,0.0550789016377157,0.45
65,0.15625,1.0,0.046707924966540304,0.45,4.18366513307844e-17,0.0728892970024571,0,4,0.0461607407440896,0.45
66,0.125,1.0,0.037506473696339526,0.45,6.385950795939621e-17,0.07278921572214,0,4,0.0370908120328689,0.45
67,0.09375,1.0,0.028141301900177496,0.45,-3.687642639166322e-17,0.0727376497129405,0,4,0.0279320944266072,0.45
68,0.0625,1.0,0.018746758867564495,0.45,1.873365828783391e-16,0.072714028894403,0,4,0.0186761744470384,0.45
